DAY,Глава,Глагол,Файл,Предложение (EN),Перевод (RU),한국어,Что на картинке (RU),Готовый промпт
46,2,LET ②,day-046,"Could you let me finish my sentence, please?","Дайте мне, пожалуйста, договорить.",제 말 좀 끝까지 들어 주시겠어요?,"Человек поднимает ладонь, прося не перебивать, на совещании","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person raising an open palm asking not to be interrupted during a meeting"
47,2,LET ③,day-047,I can't let nasty comments discourage me.,Не могу позволить злым комментариям меня сломить.,악플 때문에 위축되지 않으려고요.,Человек закрывает ноутбук с комментариями и выпрямляется,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person closing a laptop full of negative comments and sitting up straight, resolute"
48,2,GIVE ①,day-048,This song gives me chills.,От этой песни у меня мурашки.,이 노래 들으면 소름 돋아요.,"Человек в наушниках с закрытыми глазами, мурашки на руке","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person with eyes closed wearing headphones, goosebumps on their forearm, moved by music"
49,2,GIVE ②,day-049,Let me give you a quick update on the project.,"Коротко расскажу, как идёт проект.",프로젝트 진행 상황 간단히 말씀드릴게요.,"Совещание, спикер у экрана с графиком проекта","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a short stand-up meeting, one person presenting a project timeline on a screen"
50,2,KEEP ①,day-050,You can keep the omelet pan.,Сковородку для омлета можешь оставить себе.,그 오믈렛 팬은 그냥 가지세요.,"Один протягивает другому сковородку, жест «оставь себе»","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: one person handing an omelet pan to another with a keep-it gesture, kitchen doorway"
51,2,KEEP ②,day-051,This website keeps giving me an error message.,Этот сайт постоянно выдаёт мне ошибку.,이 사이트 자꾸 오류가 떠요.,"Экран с сообщением об ошибке, человек раздражён","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a laptop screen showing a repeated error message, frustrated person clicking again"
52,2,KEEP ③,day-052,"Wow, how do you keep your bathroom so clean?",Как ты держишь ванную в такой чистоте?,화장실을 어떻게 이렇게 깨끗하게 유지해요?,"Сверкающая чистая ванная, гость удивлён","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a spotless sparkling bathroom, a guest peeking in looking impressed"
53,2,LEAVE ①,day-053,I'm leaving on the first flight out tomorrow.,Я улетаю завтра первым рейсом.,내일 첫 비행기로 떠나요.,Человек с чемоданом в пустом аэропорту на рассвете,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a traveler with a suitcase in an empty airport terminal at dawn, departure board glowing"
54,2,LEAVE ②,day-054,I left you some pizza over there if you're hungry.,"Я оставил тебе там пиццу, если проголодаешься.",배고프면 저기 피자 좀 남겨 놨어요.,Кусок пиццы на столе под фольгой с запиской,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a couple of pizza slices left on a kitchen counter with a sticky note, late evening"
55,2,LEAVE ③,day-055,Do you want me to leave the door open?,Оставить дверь открытой?,문 열어 둘까요?,Человек держит дверь приоткрытой и оглядывается,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person holding a door half open, looking back over their shoulder questioningly"
56,2,BRING,day-056,Do you mind if I bring Nick with me?,"Ничего, если я приведу с собой Ника?",닉도 같이 데려가도 될까요?,"Человек пишет сообщение, рядом стоит друг","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person texting while a friend waits beside them, both ready to go out"
57,2,HEAD,day-057,I'm heading down to Busan this weekend.,На выходных еду в Пусан.,이번 주말에 부산 내려가요.,"Скоростной поезд KTX, вдалеке море Пусана","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a KTX high-speed train departing, Busan coastline in the distance, weekend trip mood"
58,2,COME,day-058,Are you coming with us to the party?,Ты с нами на вечеринку?,우리랑 파티 갈래요?,"Друзья зовут кого-то рукой, вечеринка позади","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: friends waving someone over to join them, party lights in the background"
59,2,PUT ①,day-059,They put me on the waiting list.,Меня поставили в лист ожидания.,저 대기자 명단에 올려놨대요.,"Экран с надписью WAITING LIST, человек ждёт","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a screen or clipboard reading WAITING LIST, a person waiting in a lobby chair"
60,2,PUT ②,day-060,Nasty comments always put me in a bad mood.,Злые комментарии всегда портят мне настроение.,악플 보면 항상 기분이 상해요.,"Человек хмурится, глядя в телефон, тёмная комната","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person frowning at their phone in a dim room, cold blue screen light on their face"
61,2,FEEL,day-061,This suit feels expensive.,Этот костюм на ощупь дорогой.,이 정장 원단이 좋아 보여요.,Рука ощупывает ткань пиджака в ателье,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a hand feeling the fabric of a suit jacket in a tailor shop, mirror behind"
62,2,TURN,day-062,I can't believe you've already turned 30.,"Не верится, что тебе уже тридцать.",벌써 서른이라니 믿기지가 않네요.,"Торт со свечами «30», друзья вокруг","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a birthday cake with 30 candles, friends around the table cheering"
63,3,MOVE,day-063,Is it OK if I move the fan away from me?,"Ничего, если я отодвину вентилятор от себя?",선풍기 좀 저쪽으로 돌려도 될까요?,Человек отодвигает вентилятор в офисе,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person turning a desk fan away from themselves in an office, colleague nearby"
64,3,RUN,day-064,The gift shop is run by nuns.,Этим сувенирным магазином управляют монахини.,그 기념품 가게는 수녀님들이 운영해요.,"Маленький сувенирный магазин при монастыре, монахини за прилавком","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a small monastery gift shop with nuns behind the counter, shelves of souvenirs"
65,3,TRY,day-065,I've never tried acupuncture before.,Я никогда не пробовал иглоукалывание.,침 맞아 본 적이 한 번도 없어요.,"Кабинет иглотерапии, человек с опаской смотрит на иглы","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: an acupuncture clinic, a first-time patient eyeing the needles nervously"
66,3,STAND,day-066,It's so hot I can't stand it.,"Так жарко, что я не выдерживаю.",너무 더워서 못 참겠어요.,"Человек обмахивается на раскалённой улице, марево","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person fanning themselves on a scorching street, heat shimmer, blazing sun"
67,3,BREAK,day-067,The handle on my favorite cup broke.,У моей любимой чашки отломилась ручка.,제일 아끼는 컵 손잡이가 깨졌어요.,"Чашка без ручки, отломанная ручка рядом","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a favorite mug on a table with its handle broken off lying beside it, sad mood"
68,3,HURT,day-068,My tooth hurts when I drink cold water.,"У меня болит зуб, когда я пью холодное.",찬물 마시면 이가 시려요.,Человек морщится со стаканом холодной воды,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person wincing while drinking a glass of ice water, hand on cheek"
69,3,NOTICE,day-069,I noticed you never eat anything at lunch.,"Я заметил, что ты никогда ничего не ешь в обед.",점심때 아무것도 안 드시는 것 같던데요.,Коллега замечает нетронутый обед соседа,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a colleague noticing another's untouched lunch box in an office break room"
70,3,EXPECT,day-070,I expect an answer by tomorrow.,Жду ответ к завтрашнему дню.,내일까지는 답변 주셨으면 합니다.,"Деловое письмо на экране с дедлайном, календарь","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a business email on screen with a deadline highlighted, desk calendar showing tomorrow"
71,3,LOSE,day-071,I just can't believe we lost.,"Просто не верится, что мы проиграли.",우리가 졌다는 게 믿기지 않아요.,"Болельщики в тишине, табло с проигрышем","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: stunned fans in silence, scoreboard showing a loss, heads in hands"
72,3,CATCH,day-072,I have to catch the bus at 7 a.m.,Мне надо успеть на автобус в семь утра.,아침 7시 버스를 타야 해요.,Человек бежит к автобусу на рассвете,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person running toward a bus at an early-morning stop, dawn sky"
73,3,COST,day-073,It costs too much.,Это слишком дорого.,그건 너무 비싸요.,Покупатель смотрит на ценник с удивлением,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a shopper looking at a price tag with raised eyebrows, upscale store"
74,3,OFFER,day-074,Twenty thousand won is the most I can offer.,Двадцать тысяч вон — мой максимум.,2만 원이 제가 드릴 수 있는 최대예요.,"Торг на рынке, покупатель показывает купюру","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a market haggling scene, a buyer holding out a banknote, vendor considering"
75,3,REQUIRE,day-075,Losing weight requires discipline.,Похудение требует дисциплины.,살 빼려면 절제가 필요해요.,"Весы, дневник питания и кроссовки в ряд","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a scale, a food diary and running shoes lined up neatly, disciplined routine"
76,3,GAIN,day-076,I gained a lot of confidence at the English speaking workshop last week.,На воркшопе по английскому на прошлой неделе я сильно прибавил в уверенности.,지난주 영어 회화 워크숍에서 자신감이 많이 붙었어요.,Человек уверенно говорит перед небольшой группой,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person confidently speaking in front of a small workshop group, others listening"
77,3,MENTION,day-077,Didn't you mention that you have friends in Osaka?,"Ты же вроде говорил, что у тебя есть друзья в Осаке?",오사카에 친구 있다고 하지 않았어요?,"Двое за столом, один вспоминает разговор, карта Осаки","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: two people at a table, one recalling something, a map of Osaka between them"
78,3,HANDLE,day-078,I can't handle people like her.,"Я не выношу таких людей, как она.",저는 그런 사람 감당이 안 돼요.,Человек устало прикрывает глаза после разговора,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person pinching the bridge of their nose after a difficult conversation, office"
79,3,SELL,day-079,Iced coffee sells year-round.,Холодный кофе продаётся круглый год.,아이스 커피는 사계절 내내 팔려요.,"Ледяной кофе на витрине зимой, снег за окном","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: an iced coffee on a cafe counter with snow falling outside the window"
80,3,SUIT,day-080,Bow ties don't suit me.,Мне не идут бабочки.,저는 나비넥타이가 안 어울려요.,Человек примеряет бабочку перед зеркалом и морщится,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person trying on a bow tie in front of a mirror and grimacing, shop"
81,3,MISS,day-081,I'm very sorry for missing our meetup yesterday.,"Прошу прощения, что не пришёл вчера на встречу.",어제 모임에 못 가서 정말 죄송해요.,"Пустой стул за столом, друзья без него","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: an empty chair at a table of friends, one seat conspicuously unfilled"
82,3,FINISH ①,day-082,The game finished 4-3 in extra innings.,Матч закончился 4:3 в дополнительное время.,경기가 연장에서 4대 3으로 끝났어요.,"Табло 4-3, игроки на поле после матча","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a baseball scoreboard showing 4-3 in extra innings, players walking off the field"
83,4,FINISH ②,day-083,I can't finish this cake — it's too sweet.,Я не смогу доесть этот торт — слишком сладкий.,이 케이크 너무 달아서 다 못 먹겠어요.,"Недоеденный кусок торта, вилка отложена","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a half-eaten slice of very sweet cake with the fork set down beside it"
84,4,BELONG,day-084,These mugs belong in this cupboard.,Эти кружки стоят вот в этом шкафу.,이 컵들은 이 찬장에 놓는 거예요.,Человек ставит кружки на полку шкафа,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person placing mugs onto a specific kitchen cupboard shelf, organized shelves"
85,4,AFFORD,day-085,I wish I could afford to buy a place around here.,Хотел бы я иметь возможность купить здесь жильё.,이 동네에 집 살 형편이 됐으면 좋겠어요.,Человек смотрит на витрину агентства недвижимости,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person looking at apartment listings in a real estate agency window, city street"
86,4,GRAB,day-086,Please grab a seat and we'll get started.,"Присаживайтесь, и начнём.",자리에 앉으시면 시작하겠습니다.,"Спикер приглашает сесть, участники рассаживаются","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a facilitator gesturing to seats as participants sit down in a workshop room"
87,4,FIX,day-087,I'm not sure if we can fix our marriage.,"Не уверен, что мы сможем починить наш брак.",우리 결혼 생활을 되돌릴 수 있을지 모르겠어요.,Пара сидит на разных концах дивана молча,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a couple sitting silently at opposite ends of a sofa, distance between them"
88,4,DESERVE,day-088,I think they got what they deserve.,"Думаю, они получили по заслугам.",걔네는 자업자득이에요.,Человек с лёгкой усмешкой читает новость,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person reading news on a phone with a knowing half-smile, justice served"
89,4,MIND,day-089,I wouldn't mind staying at this hotel.,Я бы не отказался остановиться в этом отеле.,이 호텔이면 저는 좋아요.,"Красивый номер отеля, гость одобрительно кивает","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a stylish hotel room, a guest nodding approvingly from the doorway, suitcase in hand"
90,4,BOOK,day-090,I booked us a room at The Shilla Seoul for our anniversary.,Я забронировал нам номер в The Shilla Seoul на годовщину.,기념일이라 신라호텔에 방 잡았어요.,Пара у стойки регистрации люксового отеля,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a couple checking in at a luxury hotel front desk, elegant lobby, anniversary mood"
91,4,SEEM,day-091,You always seem busy with something.,Ты всегда чем-то занят.,항상 뭔가 바쁘신 것 같아요.,"Человек с телефоном, ноутбуком и кофе одновременно","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person juggling a phone, laptop and coffee at once, perpetually busy"
